IN : ,	2502	0.092351986
IN : .	1797	0.066329544
DT : IN	1456	0.053742802
NNP : NNP	1183	0.043666027
DT : .	1166	0.043038535
DT : NN	1125	0.041525173
, : ,	1030	0.038018603
IN : IN	991	0.036579064
IN : CC	984	0.036320685
DT : ,	931	0.034364388
CC : .	576	0.021260889
DT : CC	479	0.017680496
NN : ,	406	0.014985974
JJ : NN	396	0.014616861
DT : NNP	394	0.014543039
IN : NNP	371	0.013694079
, : .	350	0.012918943
NNP : ,	325	0.011996161
NN : .	322	0.011885427
CC : ,	314	0.011590137
JJ : .	292	0.010778089
JJ : ,	276	0.010187509
JJ : IN	262	0.009670752
, : CC	251	0.009264728
IN : NN	246	0.009080171
JJ : NNP	242	0.008932526
CC : IN	233	0.008600325
NNP : NN	223	0.008231212
NNP : .	211	0.007788277
NNP : IN	200	0.007382253
IN : POS	191	0.007050052
VBD : IN	168	0.006201093
NNP : VBD	156	0.005758157
( : :	153	0.005647424
NN : IN	149	0.005499779
DT : VBD	146	0.005389045
DT : JJ	141	0.005204488
CC : NNP	133	0.004909198
NN : NNP	130	0.004798464
JJ : CC	122	0.004503174
IN : VBD	114	0.004207884
NONE : VBZ	113	0.004170973
NN : CC	108	0.003986417
NNP : CC	103	0.00380186
IN : TO	98	0.003617304
CC : NN	95	0.00350657
DT : VBN	92	0.003395836
TO : ,	91	0.003358925
VBD : ,	89	0.003285103
CC : NNS	85	0.003137458
NN : VBD	83	0.003063635
: : :	78	0.002879079
TO : .	74	0.002731434
CC : VBP	70	0.002583789
NN : NN	70	0.002583789
IN : :	68	0.002509966
NNP : :	67	0.002473055
VBG : ,	66	0.002436144
NNS : CC	62	0.002288498
DT : TO	59	0.002177765
CC : VBD	58	0.002140853
CC : CC	58	0.002140853
TO : IN	58	0.002140853
DT : NNS	57	0.002103942
DT : WDT	57	0.002103942
CD : ,	56	0.002067031
DT : VBZ	55	0.00203012
VBP : ,	54	0.001993208
( : )	54	0.001993208
JJ : VBD	54	0.001993208
CD : IN	53	0.001956297
VBD : .	52	0.001919386
( : NNP	52	0.001919386
VBZ : ,	52	0.001919386
CD : NN	51	0.001882475
DT : :	49	0.001808652
, : NNP	48	0.001771741
NNP : VBZ	45	0.001661007
NN : VBZ	45	0.001661007
, : IN	44	0.001624096
VBD : CC	44	0.001624096
NONE : NNP	44	0.001624096
IN : )	42	0.001550273
VBZ : .	41	0.001513362
VBG : IN	40	0.001476451
VBD : NNP	39	0.001439539
IN : WDT	39	0.001439539
DT : WP	39	0.001439539
IN : NNS	38	0.001402628
CD : NNP	38	0.001402628
VBG : CC	37	0.001365717
NONE : VBD	36	0.001328806
CD : .	34	0.001254983
CD : VBD	33	0.001218072
IN : VBZ	33	0.001218072
DT : POS	32	0.00118116
TO : CC	32	0.00118116
DT : VBP	31	0.001144249
JJ : :	31	0.001144249
( : ,	31	0.001144249
CC : TO	30	0.001107338
NNP : POS	29	0.001070427
VBN : IN	29	0.001070427
VBN : .	29	0.001070427
JJ : NNS	29	0.001070427
IN : RB	28	0.001033515
IN : JJ	28	0.001033515
DT : VBG	27	0.000996604
DT : RB	26	0.000959693
VBG : .	26	0.000959693
CD : CC	26	0.000959693
CC : :	26	0.000959693
IN : VBP	26	0.000959693
NNP : )	26	0.000959693
JJ : VBN	26	0.000959693
RB : .	25	0.000922782
VBP : NNP	25	0.000922782
JJ : TO	24	0.00088587
